,TEAM_NAME,OPPONENT,LOCATION,WL,MATCHUP
362,Charlotte Hornets,CLE,AWAY,L,8
363,Charlotte Hornets,CLE,HOME,L,6
364,Charlotte Hornets,CLE,HOME,W,3
365,Charlotte Hornets,DAL,AWAY,L,2
366,Charlotte Hornets,DAL,AWAY,W,3
367,Charlotte Hornets,DAL,HOME,L,4
368,Charlotte Hornets,DAL,HOME,W,1
369,Charlotte Hornets,DEN,AWAY,L,3
370,Charlotte Hornets,DEN,AWAY,W,2
371,Charlotte Hornets,DEN,HOME,L,1
372,Charlotte Hornets,DEN,HOME,W,4
373,Charlotte Hornets,DET,AWAY,L,5
374,Charlotte Hornets,DET,AWAY,W,3
375,Charlotte Hornets,DET,HOME,L,2
376,Charlotte Hornets,DET,HOME,W,7
377,Charlotte Hornets,GSW,AWAY,L,3
378,Charlotte Hornets,GSW,AWAY,W,1
379,Charlotte Hornets,GSW,HOME,L,4
380,Charlotte Hornets,HOU,AWAY,L,4
381,Charlotte Hornets,HOU,HOME,L,3
382,Charlotte Hornets,HOU,HOME,W,1
383,Charlotte Hornets,IND,AWAY,L,7
384,Charlotte Hornets,IND,AWAY,W,3
385,Charlotte Hornets,IND,HOME,L,2
386,Charlotte Hornets,IND,HOME,W,6
387,Charlotte Hornets,LAC,AWAY,L,5
388,Charlotte Hornets,LAC,HOME,L,4
389,Charlotte Hornets,LAC,HOME,W,1
390,Charlotte Hornets,LAL,AWAY,L,1
391,Charlotte Hornets,LAL,AWAY,W,3
392,Charlotte Hornets,LAL,HOME,L,2
393,Charlotte Hornets,LAL,HOME,W,3
394,Charlotte Hornets,MEM,AWAY,L,1
395,Charlotte Hornets,MEM,AWAY,W,4
396,Charlotte Hornets,MEM,HOME,L,2
397,Charlotte Hornets,MEM,HOME,W,3
398,Charlotte Hornets,MIA,AWAY,L,6
399,Charlotte Hornets,MIA,AWAY,W,3
400,Charlotte Hornets,MIA,HOME,L,4
401,Charlotte Hornets,MIA,HOME,W,5
402,Charlotte Hornets,MIL,AWAY,L,4
403,Charlotte Hornets,MIL,AWAY,W,4
404,Charlotte Hornets,MIL,HOME,L,4
405,Charlotte Hornets,MIL,HOME,W,5
406,Charlotte Hornets,MIN,AWAY,L,2
407,Charlotte Hornets,MIN,AWAY,W,3
408,Charlotte Hornets,MIN,HOME,L,1
409,Charlotte Hornets,MIN,HOME,W,3
410,Charlotte Hornets,NOP,AWAY,L,4
411,Charlotte Hornets,NOP,HOME,L,3
412,Charlotte Hornets,NOP,HOME,W,2
413,Charlotte Hornets,NYK,AWAY,L,6
414,Charlotte Hornets,NYK,AWAY,W,3
415,Charlotte Hornets,NYK,HOME,L,1
416,Charlotte Hornets,NYK,HOME,W,8
417,Charlotte Hornets,OKC,AWAY,L,3
418,Charlotte Hornets,OKC,AWAY,W,2
419,Charlotte Hornets,OKC,HOME,L,4
420,Charlotte Hornets,OKC,HOME,W,1
421,Charlotte Hornets,ORL,AWAY,L,2
422,Charlotte Hornets,ORL,AWAY,W,8
423,Charlotte Hornets,ORL,HOME,L,2
424,Charlotte Hornets,ORL,HOME,W,7
425,Charlotte Hornets,PHI,AWAY,L,6
426,Charlotte Hornets,PHI,AWAY,W,3
427,Charlotte Hornets,PHI,HOME,L,4
428,Charlotte Hornets,PHI,HOME,W,4
429,Charlotte Hornets,PHX,AWAY,L,2
430,Charlotte Hornets,PHX,AWAY,W,3
431,Charlotte Hornets,PHX,HOME,L,1
432,Charlotte Hornets,PHX,HOME,W,4
