,team,opponent,away_wins,away_losses
103,Chicago Bulls,Minnesota Timberwolves,3,4
104,Chicago Bulls,New Orleans Pelicans,3,3
105,Chicago Bulls,New York Knicks,5,7
106,Chicago Bulls,Oklahoma City Thunder,2,5
107,Chicago Bulls,Orlando Magic,7,5
108,Chicago Bulls,Philadelphia 76ers,8,3
109,Chicago Bulls,Phoenix Suns,3,3
110,Chicago Bulls,Portland Trail Blazers,2,5
111,Chicago Bulls,Sacramento Kings,2,4
112,Chicago Bulls,San Antonio Spurs,2,5
113,Chicago Bulls,Toronto Raptors,7,5
114,Chicago Bulls,Utah Jazz,3,4
115,Chicago Bulls,Washington Wizards,3,8
116,Cleveland Cavaliers,Atlanta Hawks,5,7
117,Cleveland Cavaliers,Brooklyn Nets,5,7
118,Cleveland Cavaliers,Boston Celtics,5,8
119,Cleveland Cavaliers,Charlotte Hornets,7,6
120,Cleveland Cavaliers,Chicago Bulls,5,9
121,Cleveland Cavaliers,Dallas Mavericks,3,3
122,Cleveland Cavaliers,Denver Nuggets,4,3
123,Cleveland Cavaliers,Detroit Pistons,6,8
124,Cleveland Cavaliers,Golden State Warriors,1,5
125,Cleveland Cavaliers,Houston Rockets,1,6
126,Cleveland Cavaliers,Indiana Pacers,3,11
127,Cleveland Cavaliers,Los Angeles Clippers,3,3
128,Cleveland Cavaliers,Los Angeles Lakers,5,2
129,Cleveland Cavaliers,Memphis Grizzlies,3,4
130,Cleveland Cavaliers,Miami Heat,0,11
131,Cleveland Cavaliers,Milwaukee Bucks,6,7
132,Cleveland Cavaliers,Minnesota Timberwolves,3,4
133,Cleveland Cavaliers,New Orleans Pelicans,0,6
134,Cleveland Cavaliers,New York Knicks,9,2
135,Cleveland Cavaliers,Oklahoma City Thunder,3,4
136,Cleveland Cavaliers,Orlando Magic,9,3
137,Cleveland Cavaliers,Philadelphia 76ers,7,5
138,Cleveland Cavaliers,Phoenix Suns,4,2
139,Cleveland Cavaliers,Portland Trail Blazers,1,6
140,Cleveland Cavaliers,Sacramento Kings,2,4
141,Cleveland Cavaliers,San Antonio Spurs,1,5
142,Cleveland Cavaliers,Toronto Raptors,5,7
143,Cleveland Cavaliers,Utah Jazz,1,6
144,Cleveland Cavaliers,Washington Wizards,9,4
145,Dallas Mavericks,Atlanta Hawks,1,6
146,Dallas Mavericks,Brooklyn Nets,4,2
147,Dallas Mavericks,Boston Celtics,3,4
148,Dallas Mavericks,Charlotte Hornets,4,3
149,Dallas Mavericks,Chicago Bulls,5,2
150,Dallas Mavericks,Cleveland Cavaliers,4,3
151,Dallas Mavericks,Denver Nuggets,2,10
152,Dallas Mavericks,Detroit Pistons,4,3
153,Dallas Mavericks,Golden State Warriors,0,12
154,Dallas Mavericks,Houston Rockets,4,10
155,Dallas Mavericks,Indiana Pacers,2,5
156,Dallas Mavericks,Los Angeles Clippers,2,10
157,Dallas Mavericks,Los Angeles Lakers,8,5
158,Dallas Mavericks,Memphis Grizzlies,5,8
159,Dallas Mavericks,Miami Heat,1,5
160,Dallas Mavericks,Milwaukee Bucks,4,3
161,Dallas Mavericks,Minnesota Timberwolves,6,6
162,Dallas Mavericks,New Orleans Pelicans,5,7
163,Dallas Mavericks,New York Knicks,5,2
164,Dallas Mavericks,Oklahoma City Thunder,3,9
165,Dallas Mavericks,Orlando Magic,3,3
166,Dallas Mavericks,Philadelphia 76ers,3,4
167,Dallas Mavericks,Phoenix Suns,5,7
168,Dallas Mavericks,Portland Trail Blazers,5,6
169,Dallas Mavericks,Sacramento Kings,7,4
170,Dallas Mavericks,San Antonio Spurs,1,12
171,Dallas Mavericks,Toronto Raptors,1,6
172,Dallas Mavericks,Utah Jazz,4,8
173,Dallas Mavericks,Washington Wizards,6,0
174,Denver Nuggets,Atlanta Hawks,1,6
175,Denver Nuggets,Brooklyn Nets,2,5
176,Denver Nuggets,Boston Celtics,1,5
177,Denver Nuggets,Charlotte Hornets,2,5
178,Denver Nuggets,Chicago Bulls,4,3
179,Denver Nuggets,Cleveland Cavaliers,4,3
180,Denver Nuggets,Dallas Mavericks,3,8
181,Denver Nuggets,Detroit Pistons,3,4
182,Denver Nuggets,Golden State Warriors,4,7
183,Denver Nuggets,Houston Rockets,3,9
184,Denver Nuggets,Indiana Pacers,3,3
185,Denver Nuggets,Los Angeles Clippers,4,9
186,Denver Nuggets,Los Angeles Lakers,7,5
187,Denver Nuggets,Memphis Grizzlies,4,9
188,Denver Nuggets,Miami Heat,3,4
189,Denver Nuggets,Milwaukee Bucks,4,3
190,Denver Nuggets,Minnesota Timberwolves,9,5
191,Denver Nuggets,New Orleans Pelicans,6,5
192,Denver Nuggets,New York Knicks,2,4
193,Denver Nuggets,Oklahoma City Thunder,4,9
194,Denver Nuggets,Orlando Magic,5,2
195,Denver Nuggets,Philadelphia 76ers,3,4
196,Denver Nuggets,Phoenix Suns,6,6
197,Denver Nuggets,Portland Trail Blazers,3,10
198,Denver Nuggets,Sacramento Kings,7,5
199,Denver Nuggets,San Antonio Spurs,0,12
200,Denver Nuggets,Toronto Raptors,3,4
201,Denver Nuggets,Utah Jazz,3,10
202,Denver Nuggets,Washington Wizards,3,3
203,Detroit Pistons,Atlanta Hawks,5,7
204,Detroit Pistons,Brooklyn Nets,4,8
205,Detroit Pistons,Boston Celtics,5,7
206,Detroit Pistons,Charlotte Hornets,4,8
207,Detroit Pistons,Chicago Bulls,5,8
208,Detroit Pistons,Cleveland Cavaliers,6,6
209,Detroit Pistons,Dallas Mavericks,3,4
210,Detroit Pistons,Denver Nuggets,1,5
211,Detroit Pistons,Golden State Warriors,1,5
212,Detroit Pistons,Houston Rockets,2,5
213,Detroit Pistons,Indiana Pacers,3,10
214,Detroit Pistons,Los Angeles Clippers,2,5
215,Detroit Pistons,Los Angeles Lakers,1,6
216,Detroit Pistons,Memphis Grizzlies,2,5
217,Detroit Pistons,Miami Heat,3,8
218,Detroit Pistons,Milwaukee Bucks,4,10
219,Detroit Pistons,Minnesota Timberwolves,4,3
220,Detroit Pistons,New Orleans Pelicans,1,5
221,Detroit Pistons,New York Knicks,5,7
222,Detroit Pistons,Oklahoma City Thunder,2,4
223,Detroit Pistons,Orlando Magic,5,8
224,Detroit Pistons,Philadelphia 76ers,5,8
225,Detroit Pistons,Phoenix Suns,3,3
226,Detroit Pistons,Portland Trail Blazers,2,4
227,Detroit Pistons,Sacramento Kings,3,4
228,Detroit Pistons,San Antonio Spurs,1,5
229,Detroit Pistons,Toronto Raptors,4,8
230,Detroit Pistons,Utah Jazz,2,5
231,Detroit Pistons,Washington Wizards,3,9
232,Golden State Warriors,Atlanta Hawks,6,1
233,Golden State Warriors,Brooklyn Nets,5,2
234,Golden State Warriors,Boston Celtics,5,2
235,Golden State Warriors,Charlotte Hornets,5,1
236,Golden State Warriors,Chicago Bulls,4,3
237,Golden State Warriors,Cleveland Cavaliers,5,2
238,Golden State Warriors,Dallas Mavericks,9,4
239,Golden State Warriors,Denver Nuggets,6,7
240,Golden State Warriors,Detroit Pistons,5,2
241,Golden State Warriors,Houston Rockets,8,4
242,Golden State Warriors,Indiana Pacers,4,3
243,Golden State Warriors,Los Angeles Clippers,9,5
244,Golden State Warriors,Los Angeles Lakers,7,6
245,Golden State Warriors,Memphis Grizzlies,5,5
246,Golden State Warriors,Miami Heat,5,1
247,Golden State Warriors,Milwaukee Bucks,5,2
248,Golden State Warriors,Minnesota Timberwolves,8,2
249,Golden State Warriors,New Orleans Pelicans,8,1
250,Golden State Warriors,New York Knicks,6,1
251,Golden State Warriors,Oklahoma City Thunder,5,6
252,Golden State Warriors,Orlando Magic,5,1
253,Golden State Warriors,Philadelphia 76ers,5,1
254,Golden State Warriors,Phoenix Suns,11,3
255,Golden State Warriors,Portland Trail Blazers,8,5
256,Golden State Warriors,Sacramento Kings,11,3
257,Golden State Warriors,San Antonio Spurs,3,9
258,Golden State Warriors,Toronto Raptors,5,2
259,Golden State Warriors,Utah Jazz,8,5
260,Golden State Warriors,Washington Wizards,6,1
261,Houston Rockets,Atlanta Hawks,2,4
262,Houston Rockets,Brooklyn Nets,5,2
263,Houston Rockets,Boston Celtics,3,3
264,Houston Rockets,Charlotte Hornets,5,1
265,Houston Rockets,Chicago Bulls,4,3
266,Houston Rockets,Cleveland Cavaliers,5,2
267,Houston Rockets,Dallas Mavericks,7,6
268,Houston Rockets,Denver Nuggets,6,6
269,Houston Rockets,Detroit Pistons,3,4
270,Houston Rockets,Golden State Warriors,6,5
271,Houston Rockets,Indiana Pacers,3,4
272,Houston Rockets,Los Angeles Clippers,4,8
273,Houston Rockets,Los Angeles Lakers,9,3
274,Houston Rockets,Memphis Grizzlies,6,7
275,Houston Rockets,Miami Heat,2,5
276,Houston Rockets,Milwaukee Bucks,4,2
277,Houston Rockets,Minnesota Timberwolves,8,5
278,Houston Rockets,New Orleans Pelicans,6,5
279,Houston Rockets,New York Knicks,7,0
280,Houston Rockets,Oklahoma City Thunder,4,8
281,Houston Rockets,Orlando Magic,4,3
282,Houston Rockets,Philadelphia 76ers,4,3
283,Houston Rockets,Phoenix Suns,10,2
284,Houston Rockets,Portland Trail Blazers,6,6
285,Houston Rockets,Sacramento Kings,8,4
286,Houston Rockets,San Antonio Spurs,5,9
287,Houston Rockets,Toronto Raptors,2,4
288,Houston Rockets,Utah Jazz,7,6
289,Houston Rockets,Washington Wizards,4,3
290,Indiana Pacers,Atlanta Hawks,4,8
291,Indiana Pacers,Brooklyn Nets,8,4
292,Indiana Pacers,Boston Celtics,5,6
293,Indiana Pacers,Charlotte Hornets,4,8
294,Indiana Pacers,Chicago Bulls,5,9
295,Indiana Pacers,Cleveland Cavaliers,6,8
296,Indiana Pacers,Dallas Mavericks,3,3
297,Indiana Pacers,Denver Nuggets,0,6
298,Indiana Pacers,Detroit Pistons,8,4
299,Indiana Pacers,Golden State Warriors,2,4
300,Indiana Pacers,Houston Rockets,2,5
301,Indiana Pacers,Los Angeles Clippers,5,1
302,Indiana Pacers,Los Angeles Lakers,3,4
303,Indiana Pacers,Memphis Grizzlies,2,5
304,Indiana Pacers,Miami Heat,4,9
305,Indiana Pacers,Milwaukee Bucks,6,7
306,Indiana Pacers,Minnesota Timberwolves,4,3
307,Indiana Pacers,New Orleans Pelicans,4,2
308,Indiana Pacers,New York Knicks,6,6
309,Indiana Pacers,Oklahoma City Thunder,2,4
310,Indiana Pacers,Orlando Magic,9,3
311,Indiana Pacers,Philadelphia 76ers,8,4
312,Indiana Pacers,Phoenix Suns,5,2
313,Indiana Pacers,Portland Trail Blazers,0,6
314,Indiana Pacers,Sacramento Kings,4,3
315,Indiana Pacers,San Antonio Spurs,3,4
316,Indiana Pacers,Toronto Raptors,2,11
