,TEAM,YEAR,HOME W,HOME L,AWAY W,AWAY L,HOME %,AWAY %
68,Indiana Pacers,2016,29,12,13,28,0.7073170731707317,0.3170731707317073
69,Indiana Pacers,2017,27,14,21,20,0.6585365853658537,0.5121951219512195
70,Los Angeles Clippers,2012,32,9,24,17,0.7804878048780488,0.5853658536585366
71,Los Angeles Clippers,2013,34,7,23,18,0.8292682926829268,0.5609756097560976
72,Los Angeles Clippers,2014,30,11,26,15,0.7317073170731707,0.6341463414634146
73,Los Angeles Lakers,2012,29,12,16,25,0.7073170731707317,0.3902439024390244
74,Los Angeles Lakers,2013,14,27,13,28,0.34146341463414637,0.3170731707317073
75,Los Angeles Lakers,2014,12,29,9,32,0.2926829268292683,0.21951219512195122
76,Los Angeles Lakers,2015,12,29,5,36,0.2926829268292683,0.12195121951219512
77,Los Angeles Lakers,2016,17,24,9,32,0.4146341463414634,0.21951219512195122
78,Los Angeles Lakers,2017,20,21,15,26,0.4878048780487805,0.36585365853658536
79,Memphis Grizzlies,2012,32,9,24,17,0.7804878048780488,0.5853658536585366
80,Memphis Grizzlies,2013,27,14,23,18,0.6585365853658537,0.5609756097560976
81,Memphis Grizzlies,2014,31,10,24,17,0.7560975609756098,0.5853658536585366
82,Memphis Grizzlies,2015,26,15,16,25,0.6341463414634146,0.3902439024390244
83,Memphis Grizzlies,2016,24,17,19,22,0.5853658536585366,0.4634146341463415
84,Memphis Grizzlies,2017,16,25,6,35,0.3902439024390244,0.14634146341463414
85,Miami Heat,2012,37,4,29,12,0.9024390243902439,0.7073170731707317
86,Miami Heat,2013,32,9,22,19,0.7804878048780488,0.5365853658536586
87,Miami Heat,2014,20,21,17,24,0.4878048780487805,0.4146341463414634
88,Miami Heat,2015,28,13,20,21,0.6829268292682927,0.4878048780487805
89,Miami Heat,2016,23,18,18,23,0.5609756097560976,0.43902439024390244
90,Miami Heat,2017,26,15,18,23,0.6341463414634146,0.43902439024390244
91,Milwaukee Bucks,2012,21,20,17,24,0.5121951219512195,0.4146341463414634
92,Milwaukee Bucks,2013,10,31,5,36,0.24390243902439024,0.12195121951219512
