TEAM NAME,ref,MATCHUP,LOCATION,WL,OPPONENT,ref2
San Francisco 49ers, San Francisco 49ers, San Francisco 49ers @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
San Francisco 49ers, San Francisco 49ers, San Francisco 49ers @ Arizona Cardinals,Away,W,Arizona Cardinals, Arizona Cardinals
San Francisco 49ers, San Francisco 49ers, San Francisco 49ers @ Arizona Cardinals,Away,W,Arizona Cardinals, Arizona Cardinals
San Francisco 49ers, San Francisco 49ers, San Francisco 49ers vs. Arizona Cardinals,Home,L,Arizona Cardinals, Arizona Cardinals
San Francisco 49ers, San Francisco 49ers, San Francisco 49ers vs. Arizona Cardinals,Home,L,Arizona Cardinals, Arizona Cardinals
San Francisco 49ers, San Francisco 49ers, San Francisco 49ers vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
San Francisco 49ers, San Francisco 49ers, San Francisco 49ers vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
San Francisco 49ers, San Francisco 49ers, San Francisco 49ers vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Tampa Bay Buccaneers, Tampa Bay Buccaneers, Tampa Bay Buccaneers @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Tampa Bay Buccaneers, Tampa Bay Buccaneers, Tampa Bay Buccaneers vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Washington Redskins, Washington Redskins, Washington Redskins @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Washington Redskins, Washington Redskins, Washington Redskins @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Washington Redskins, Washington Redskins, Washington Redskins vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Washington Redskins, Washington Redskins, Washington Redskins vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Arizona Cardinals, Arizona Cardinals, Arizona Cardinals @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
Arizona Cardinals, Arizona Cardinals, Arizona Cardinals @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
Arizona Cardinals, Arizona Cardinals, Arizona Cardinals @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
