Team,Year,HOME W,HOME L,AWAY W,AWAY L,HOME %,AWAY %
Texas Rangers,2013,46,36,45,36,0.56,0.56
Texas Rangers,2014,33,48,34,47,0.41,0.42
Texas Rangers,2015,43,38,45,36,0.53,0.56
Texas Rangers,2016,53,28,42,39,0.65,0.52
Texas Rangers,2017,41,40,37,44,0.51,0.46
Toronto Blue Jays,2012,41,40,32,49,0.51,0.40
Toronto Blue Jays,2013,40,41,34,47,0.49,0.42
Toronto Blue Jays,2014,46,35,37,44,0.57,0.46
Toronto Blue Jays,2015,53,28,40,41,0.65,0.49
Toronto Blue Jays,2016,46,35,43,38,0.57,0.53
Toronto Blue Jays,2017,42,39,34,47,0.52,0.42
Washington Nationals,2012,50,31,48,33,0.62,0.59
Washington Nationals,2013,47,34,39,42,0.58,0.48
Washington Nationals,2014,51,30,45,36,0.63,0.56
Washington Nationals,2015,46,35,37,44,0.57,0.46
Washington Nationals,2016,50,31,45,36,0.62,0.56
Washington Nationals,2017,47,34,50,31,0.58,0.62
