,TEAM,YEAR,HOME W,HOME L,AWAY W,AWAY L,HOME %,AWAY %
32,Dallas Mavericks,2015,23,18,19,22,0.5609756097560976,0.4634146341463415
33,Dallas Mavericks,2016,21,20,12,29,0.5121951219512195,0.2926829268292683
34,Dallas Mavericks,2017,15,26,9,32,0.36585365853658536,0.21951219512195122
35,Denver Nuggets,2012,38,3,19,22,0.926829268292683,0.4634146341463415
36,Denver Nuggets,2013,22,19,14,27,0.5365853658536586,0.34146341463414637
37,Denver Nuggets,2014,19,22,11,30,0.4634146341463415,0.2682926829268293
38,Denver Nuggets,2015,18,23,15,26,0.43902439024390244,0.36585365853658536
39,Denver Nuggets,2016,22,19,18,23,0.5365853658536586,0.43902439024390244
40,Denver Nuggets,2017,31,10,15,26,0.7560975609756098,0.36585365853658536
41,Golden State Warriors,2012,28,13,19,22,0.6829268292682927,0.4634146341463415
42,Golden State Warriors,2013,27,14,24,17,0.6585365853658537,0.5853658536585366
43,Golden State Warriors,2014,39,2,28,13,0.9512195121951219,0.6829268292682927
44,Golden State Warriors,2015,39,2,34,7,0.9512195121951219,0.8292682926829268
45,Golden State Warriors,2016,36,5,31,10,0.8780487804878049,0.7560975609756098
46,Golden State Warriors,2017,29,12,29,12,0.7073170731707317,0.7073170731707317
47,Houston Rockets,2012,29,12,16,25,0.7073170731707317,0.3902439024390244
48,Houston Rockets,2013,33,8,21,20,0.8048780487804879,0.5121951219512195
49,Houston Rockets,2014,30,11,26,15,0.7317073170731707,0.6341463414634146
50,Houston Rockets,2015,23,18,18,23,0.5609756097560976,0.43902439024390244
51,Houston Rockets,2016,30,11,25,16,0.7317073170731707,0.6097560975609756
52,Houston Rockets,2017,34,7,31,10,0.8292682926829268,0.7560975609756098
53,Los Angeles Clippers,2012,32,9,24,17,0.7804878048780488,0.5853658536585366
54,Los Angeles Clippers,2013,34,7,23,18,0.8292682926829268,0.5609756097560976
55,Los Angeles Clippers,2014,30,11,26,15,0.7317073170731707,0.6341463414634146
56,Los Angeles Lakers,2012,29,12,16,25,0.7073170731707317,0.3902439024390244
57,Los Angeles Lakers,2013,14,27,13,28,0.34146341463414637,0.3170731707317073
58,Los Angeles Lakers,2014,12,29,9,32,0.2926829268292683,0.21951219512195122
59,Los Angeles Lakers,2015,12,29,5,36,0.2926829268292683,0.12195121951219512
60,Los Angeles Lakers,2016,17,24,9,32,0.4146341463414634,0.21951219512195122
61,Los Angeles Lakers,2017,20,21,15,26,0.4878048780487805,0.36585365853658536
62,Miami Heat,2012,37,4,29,12,0.9024390243902439,0.7073170731707317
63,Miami Heat,2013,32,9,22,19,0.7804878048780488,0.5365853658536586
64,Miami Heat,2014,20,21,17,24,0.4878048780487805,0.4146341463414634
65,Miami Heat,2015,28,13,20,21,0.6829268292682927,0.4878048780487805
66,Miami Heat,2016,23,18,18,23,0.5609756097560976,0.43902439024390244
67,Miami Heat,2017,26,15,18,23,0.6341463414634146,0.43902439024390244
68,Milwaukee Bucks,2012,21,20,17,24,0.5121951219512195,0.4146341463414634
69,Milwaukee Bucks,2013,10,31,5,36,0.24390243902439024,0.12195121951219512
70,Milwaukee Bucks,2014,23,18,18,23,0.5609756097560976,0.43902439024390244
71,Milwaukee Bucks,2015,23,18,10,31,0.5609756097560976,0.24390243902439024
72,Milwaukee Bucks,2016,23,18,19,22,0.5609756097560976,0.4634146341463415
73,Milwaukee Bucks,2017,25,16,19,22,0.6097560975609756,0.4634146341463415
74,Minnesota Timberwolves,2012,20,21,11,30,0.4878048780487805,0.2682926829268293
75,Minnesota Timberwolves,2013,24,17,16,25,0.5853658536585366,0.3902439024390244
76,Minnesota Timberwolves,2014,9,32,7,34,0.21951219512195122,0.17073170731707318
77,Minnesota Timberwolves,2015,14,27,15,26,0.34146341463414637,0.36585365853658536
78,Minnesota Timberwolves,2016,20,21,11,30,0.4878048780487805,0.2682926829268293
79,Minnesota Timberwolves,2017,30,11,17,24,0.7317073170731707,0.4146341463414634
80,Brooklyn Nets,2012,26,15,23,18,0.6341463414634146,0.5609756097560976
81,Brooklyn Nets,2013,28,13,16,25,0.6829268292682927,0.3902439024390244
82,Brooklyn Nets,2014,19,22,19,22,0.4634146341463415,0.4634146341463415
83,Brooklyn Nets,2015,14,27,7,34,0.34146341463414637,0.17073170731707318
84,Brooklyn Nets,2016,13,28,7,34,0.3170731707317073,0.17073170731707318
85,Brooklyn Nets,2017,15,26,13,28,0.36585365853658536,0.3170731707317073
86,New York Knicks,2012,31,10,23,18,0.7560975609756098,0.5609756097560976
87,New York Knicks,2013,19,22,18,23,0.4634146341463415,0.43902439024390244
88,New York Knicks,2014,10,31,7,34,0.24390243902439024,0.17073170731707318
89,New York Knicks,2015,18,23,14,27,0.43902439024390244,0.34146341463414637
90,New York Knicks,2016,19,22,12,29,0.4634146341463415,0.2926829268292683
